course_id,short_name,long_name,account_id,term_id,status,integration_id,course_format
202710ET2500110027,ET 250 01,Internship,ET,202710,active,20271010027,on_campus
202710ET3060110028,ET 306 01,CAD Applications,ET,202710,active,20271010028,on_campus
202710MU401G0110029,MU 401G 01,French Horn,FA,202710,active,20271010029,on_campus
202710MU101H0110030,MU 101H 01,Tuba,FA,202710,active,20271010030,on_campus
202710MU201H0110031,MU 201H 01,Tuba,FA,202710,active,20271010031,on_campus
202710MU301H0110032,MU 301H 01,Tuba,FA,202710,active,20271010032,on_campus
202710MU401H0110033,MU 401H 01,Tuba,FA,202710,active,20271010033,on_campus
202710MU101I0110034,MU 101I 01,Flute,FA,202710,active,20271010034,on_campus
202710MU201I0110035,MU 201I 01,Flute,FA,202710,active,20271010035,on_campus
202710MU301I0110036,MU 301I 01,Flute,FA,202710,active,20271010036,on_campus
202710MU401I0110037,MU 401I 01,Flute,FA,202710,active,20271010037,on_campus
202710MU101K0110038,MU 101K 01,Clarinet,FA,202710,active,20271010038,on_campus
202710MU201K0110039,MU 201K 01,Clarinet,FA,202710,active,20271010039,on_campus
202710MU301K0110040,MU 301K 01,Clarinet,FA,202710,active,20271010040,on_campus
202710MU401K0110041,MU 401K 01,Clarinet,FA,202710,active,20271010041,on_campus
202710MU1210110042,MU 121 01,Theory I,FA,202710,active,20271010042,on_campus
202710MU2210110043,MU 221 01,Theory III,FA,202710,active,20271010043,on_campus
202710MU4460110044,MU 446 01,Brasswind Class,FA,202710,active,20271010044,on_campus
202710MU4420110045,MU 442 01,Choral Conducting,FA,202710,active,20271010045,on_campus
202710MU3410110046,MU 341 01,Elementary Strings,FA,202710,active,20271010046,on_campus
202710MU1410110047,MU 141 01,Piano Class,FA,202710,active,20271010047,on_campus
202710MU1410210048,MU 141 02,Piano Class,FA,202710,active,20271010048,on_campus
202710MU3430310049,MU 343 03,Music Meth & Mat. in Elem. Sch,FA,202710,active,20271010049,on_campus
202710MU2810310050,MU 281 03,Principles of Audio I,FA,202710,active,20271010050,on_campus
202710MU3810310051,MU 381 03,Mixing Techniques I & Lab,FA,202710,active,20271010051,on_campus
202710MU3230310052,MU 323 03,FORM AND ANALYSIS,FA,202710,active,20271010052,on_campus
202710MU3310110053,MU 331 01,Music History & Lit. I,FA,202710,active,20271010053,on_campus
202710MU1910110054,MU 191 01,Department Seminar,FA,202710,active,20271010054,on_campus
202710MU2910110055,MU 291 01,Recital Attendance,FA,202710,active,20271010055,on_campus
202710AC2210110056,AC 221 01,Financial Accounting,BA,202710,active,20271010056,on_campus
202710AC3010110057,AC 301 01,Intermediate Accounting I,BA,202710,active,20271010057,on_campus
202710MU3910110058,MU 391 01,Recital Attendance,FA,202710,active,20271010058,on_campus
202710AC3260110059,AC 326 01,Accounting Systems,BA,202710,active,20271010059,on_campus
202710MU4910110060,MU 491 01,Recital Attendance,FA,202710,active,20271010060,on_campus
202710AC4010110061,AC 401 01,Taxation,BA,202710,active,20271010061,on_campus
202710AC4300110063,AC 430 01,Cost Accounting,BA,202710,active,20271010063,on_campus
202710SW301HE110064,SW 301 HE1,Interviewing Techniques,SW,202710,active,20271010064,blended
202710SW302E0110065,SW 302 E01,Soc. Welfare Policy & Serv. I,SW,202710,active,20271010065,online
202710SW3070110066,SW 307 01,Issues of Div. and Soc. Just.,SW,202710,active,20271010066,on_campus
202710SW3200110067,SW 320 01,Hum. Behavior in the Soc. Env.,SW,202710,active,20271010067,on_campus
202710BA602E0110068,BA 602 E01,Managerial Economics,BA,202710,active,20271010068,online
202710SW3300110069,SW 330 01,Methods of SW Practice I,SW,202710,active,20271010069,on_campus
202710BA601E0110070,BA 601 E01,Managerial Communications,BA,202710,active,20271010070,online
202710BA612E0110071,BA 612 E01,Mgmt & Organiz Design Theory,BA,202710,active,20271010071,online
202710BA622E0110072,BA 622 E01,Managerial Accounting Analysis,BA,202710,active,20271010072,online
202710BA632E0110073,BA 632 E01,Global. and the New Glob. Econ,BA,202710,active,20271010073,online
202710BA2060110075,BA 206 01,Computer Applications for Busi,BA,202710,active,20271010075,on_campus
202710BA3150110076,BA 315 01,Human Resource Mgmt,BA,202710,active,20271010076,on_campus
202710BA3200110077,BA 320 01,Business Communication,BA,202710,active,20271010077,on_campus
202710BA3220110078,BA 322 01,Business Finance,BA,202710,active,20271010078,on_campus
202710BA340E0110079,BA 340 E01,Organizational Behavior,BA,202710,active,20271010079,online
202710SW4080110080,SW 408 01,Statistics for Social Work,SW,202710,active,20271010080,on_campus
202710BA370E0110081,BA 370 E01,Legal Environment of Business,BA,202710,active,20271010081,online
202710BA4210110082,BA 421 01,International Business,BA,202710,active,20271010082,on_campus
202710SW4090110083,SW 409 01,Methods of SW Research,SW,202710,active,20271010083,on_campus
202710BA430E0110084,BA 430 E01,Management Information System,BA,202710,active,20271010084,online
202710SW4200110085,SW 420 01,Methods of SW Practice III,SW,202710,active,20271010085,on_campus
202710SW430E0110086,SW 430 E01,Social Work in Rural Areas,SW,202710,active,20271010086,online
202710BA4450110087,BA 445 01,Consumer Behavior,BA,202710,active,20271010087,on_campus
202710SW4360110088,SW 436 01,Field Practicum,SW,202710,active,20271010088,on_campus
202710BA4480110089,BA 448 01,Marketing Management,BA,202710,active,20271010089,on_campus
202710BA4550110090,BA 455 01,Economic Development,BA,202710,active,20271010090,on_campus
202710SW4370110091,SW 437 01,Integration Seminar,SW,202710,active,20271010091,on_campus
202710SW3750110092,SW 375 01,Spec. Prob. on the Rural Elder,SW,202710,active,20271010092,on_campus
202710SW4910110093,SW 491 01,Pre-Field Seminar,SW,202710,active,20271010093,on_campus
202710SW5000110094,SW 500 01,Social Work Practice I,SW,202710,active,20271010094,on_campus
202710SW512HE110095,SW 512 HE1,Social Welfare Policy,SW,202710,active,20271010095,blended
202710SW5200110096,SW 520 01,Human Behavior I,SW,202710,active,20271010096,on_campus
202710SW5310110097,SW 531 01,Methods of SW Research,SW,202710,active,20271010097,on_campus
202710SW6000110098,SW 600 01,Social Work Pract. With Child.,SW,202710,active,20271010098,on_campus
202710SW610E0110099,SW 610 E01,Family and Child Welfare Polic,SW,202710,active,20271010099,online
202710SW615HE110100,SW 615 HE1,ADV. SWK With Child. & Fam.,SW,202710,active,20271010100,blended
202710SW6200110101,SW 620 01,Rural Social Work,SW,202710,active,20271010101,on_campus
202710SW630E0110102,SW 630 E01,Men.Hlth:Assess. and Intervent,SW,202710,active,20271010102,online
202710EH530E0110103,EH 530 E01,Biostatistics,NSEH,202710,active,20271010103,online
202710EH540E0110104,EH 540 E01,Principles of Air Pollution,NSEH,202710,active,20271010104,online
202710EH591E0110105,EH 591 E01,Environmental Health Seminar,NSEH,202710,active,20271010105,online
202710EH620E0110106,EH 620 E01,Research in Env. Health,NSEH,202710,active,20271010106,online
202710EH550E0110107,EH 550 E01,Environmental Microbiology,NSEH,202710,active,20271010107,online
202710EH550LE0110108,EH 550L E01,Env. Microbiology Lab,NSEH,202710,active,20271010108,online
202710EH570E0110109,EH 570 E01,Vector Control,NSEH,202710,active,20271010109,online
202710EH503E0110110,EH 503 E01,Economics of Env. Management,NSEH,202710,active,20271010110,online
202710EH565E0110111,EH 565 E01,Solid & Hazardous Waste Mang.,NSEH,202710,active,20271010111,online
202710MU101S0110112,MU 101S 01,University Band,FA,202710,active,20271010112,on_campus
202710EH500E0110113,EH 500 E01,Principles of Env. Health,NSEH,202710,active,20271010113,online
202710EH588E0110114,EH 588 E01,Public Health Adm& Planning,NSEH,202710,active,20271010114,online
202710MU201S0110115,MU 201S 01,Band,FA,202710,active,20271010115,on_campus
202710BF601E0110116,BF 601 E01,Intro to Bioinformatics,NSEH,202710,active,20271010116,online
202710BF6130110117,BF 613 01,Bioinformatics Programming,NSEH,202710,active,20271010117,on_campus
202710MU301S0110118,MU 301S 01,Band,FA,202710,active,20271010118,on_campus
202710BF7010110119,BF 701 01,Systems Biology,NSEH,202710,active,20271010119,on_campus
202710MU401S0110120,MU 401S 01,Band,FA,202710,active,20271010120,on_campus
202710BF7950110121,BF 795 01,Thesis Research,NSEH,202710,active,20271010121,on_campus
202710BF7120110122,BF 712 01,Statistical Bioinformatics,NSEH,202710,active,20271010122,on_campus
202710MU101T0110123,MU 101T 01,University Choir,FA,202710,active,20271010123,on_campus
202710BF7960110124,BF 796 01,Thesis Research,NSEH,202710,active,20271010124,on_campus
202710MU201T0110125,MU 201T 01,University Choir,FA,202710,active,20271010125,on_campus
202710MU301T0110126,MU 301T 01,University Choir,FA,202710,active,20271010126,on_campus
202710MU401T0110128,MU 401T 01,University Choir,FA,202710,active,20271010128,on_campus
202710MU101U0110129,MU 101U 01,Concert Band,FA,202710,active,20271010129,on_campus
202710MU301U0110130,MU 301U 01,Concert Band,FA,202710,active,20271010130,on_campus
202710MU401U0110131,MU 401U 01,Concert Band,FA,202710,active,20271010131,on_campus
202710CH111E0110132,CH 111 E01,General Chemistry I,NSEH,202710,active,20271010132,online
202710MU101Y0110133,MU 101Y 01,Valley Singers,FA,202710,active,20271010133,on_campus
202710CH1110210134,CH 111 02,General Chemistry I,NSEH,202710,active,20271010134,on_campus
202710MU111J0110135,MU 111J 01,Jazz Band,FA,202710,active,20271010135,on_campus
202710MU211J0110136,MU 211J 01,Jazz Band,FA,202710,active,20271010136,on_campus
202710CH1110110137,CH 111 01,General Chemistry I,NSEH,202710,active,20271010137,on_campus
202710MU311J0110138,MU 311J 01,Jazz Band,FA,202710,active,20271010138,on_campus
202710CH111LE0110139,CH 111L E01,General Chemistry I Lab,NSEH,202710,active,20271010139,online
202710MU411J0110140,MU 411J 01,Jazz Band,FA,202710,active,20271010140,on_campus
202710CH111L0210141,CH 111L 02,General Chemistry I Lab,NSEH,202710,active,20271010141,on_campus
202710CH111L0110142,CH 111L 01,General Chemistry I Lab,NSEH,202710,active,20271010142,on_campus
202710CH3010110143,CH 301 01,Organic Chemistry I,NSEH,202710,active,20271010143,on_campus
202710CH3010210144,CH 301 02,Organic Chemistry I,NSEH,202710,active,20271010144,on_campus
202710CH301L0110145,CH 301L 01,Organic Chemistry Laboratory,NSEH,202710,active,20271010145,on_campus
202710CH301L0210146,CH 301L 02,Organic Chemistry Laboratory,NSEH,202710,active,20271010146,on_campus
202710CH311110147,CH 311 1,Analytical Chemistry,NSEH,202710,active,20271010147,on_campus
202710CH311L110148,CH 311L 1,Analytical Chemistry Lab,NSEH,202710,active,20271010148,on_campus
202710CH3200110149,CH 320 01,Introductory Biochemistry,NSEH,202710,active,20271010149,on_campus
202710CH320L0110150,CH 320L 01,Introduction to Bio. Chem. Lab,NSEH,202710,active,20271010150,on_campus
202710PH2110110151,PH 211 01,General Physics I,NSEH,202710,active,20271010151,on_campus
202710MU101L0110152,MU 101L 01,Saxophone,FA,202710,active,20271010152,on_campus
202710PH2110210153,PH 211 02,General Physics I,NSEH,202710,active,20271010153,on_campus
202710MU201L0110154,MU 201L 01,Saxophone,FA,202710,active,20271010154,on_campus
202710PH211L0110155,PH 211L 01,General Physics I Lab,NSEH,202710,active,20271010155,on_campus
202710MU301L0110156,MU 301L 01,Saxophone,FA,202710,active,20271010156,on_campus
202710MU401L0110157,MU 401L 01,Saxophone,FA,202710,active,20271010157,on_campus
202710PH211L0210158,PH 211L 02,General Physics I Lab,NSEH,202710,active,20271010158,on_campus
202710MU101R0110159,MU 101R 01,Percussion,FA,202710,active,20271010159,on_campus
202710MU201R0110160,MU 201R 01,Percussion,FA,202710,active,20271010160,on_campus
202710MU301R0110161,MU 301R 01,Percussion,FA,202710,active,20271010161,on_campus
202710MU401R0110162,MU 401R 01,Percussion,FA,202710,active,20271010162,on_campus
202710MU4500110163,MU 450 01,Senior Recital,FA,202710,active,20271010163,on_campus
202710MU4500210164,MU 450 02,Senior Recital,FA,202710,active,20271010164,on_campus
202710MU4500310165,MU 450 03,Senior Recital,FA,202710,active,20271010165,on_campus
202710MU4500410166,MU 450 04,Senior Recital,FA,202710,active,20271010166,on_campus
202710MU4500510167,MU 450 05,Senior Recital,FA,202710,active,20271010167,on_campus
202710BI111E0110168,BI 111 E01,General Biology I Zoology,NSEH,202710,active,20271010168,online
202710BI1110110169,BI 111 01,General Biology I Zoology,NSEH,202710,active,20271010169,on_campus
202710BI1110210170,BI 111 02,General Biology I Zoology,NSEH,202710,active,20271010170,on_campus
202710MU4500610171,MU 450 06,Senior Recital,FA,202710,active,20271010171,on_campus
202710MU4500710172,MU 450 07,Senior Recital,FA,202710,active,20271010172,on_campus
202710BI1110310173,BI 111 03,General Biology I Zoology,NSEH,202710,active,20271010173,on_campus
202710BI111LE0110174,BI 111L E01,General Biology I Zoology Lab,NSEH,202710,active,20271010174,online
202710BI111L0110175,BI 111L 01,General Biology I Zoology Lab,NSEH,202710,active,20271010175,on_campus
202710BI111L0210176,BI 111L 02,General Biology I Zoology Lab,NSEH,202710,active,20271010176,on_campus
202710BI111L0310177,BI 111L 03,General Biology I Zoology Lab,NSEH,202710,active,20271010177,on_campus
202710BI3010110178,BI 301 01,Anatomy,NSEH,202710,active,20271010178,on_campus
202710BI3010210179,BI 301 02,Anatomy,NSEH,202710,active,20271010179,on_campus
202710BI301L0110180,BI 301L 01,Anatomy Lab,NSEH,202710,active,20271010180,on_campus
202710BI301L0210181,BI 301L 02,Anatomy Lab,NSEH,202710,active,20271010181,on_campus
202710BI4220110182,BI 422 01,Immunology,NSEH,202710,active,20271010182,on_campus
202710BI422L0110183,BI 422L 01,Immunology Lab,NSEH,202710,active,20271010183,on_campus
202710BI3110110184,BI 311 01,Genetics,NSEH,202710,active,20271010184,on_campus
202710MU101A0110185,MU 101A 01,Piano,FA,202710,active,20271010185,on_campus
202710MU201A0110186,MU 201A 01,Piano,FA,202710,active,20271010186,on_campus
202710MU301A0110187,MU 301A 01,Piano,FA,202710,active,20271010187,on_campus
202710BI311L0110188,BI 311L 01,Genetics Laboratory,NSEH,202710,active,20271010188,on_campus
202710MU401A0110189,MU 401A 01,Piano,FA,202710,active,20271010189,on_campus
202710MU101C0110190,MU 101C 01,Voice,FA,202710,active,20271010190,on_campus
202710MU201C0110191,MU 201C 01,Voice,FA,202710,active,20271010191,on_campus
202710MU301C0110192,MU 301C 01,Voice,FA,202710,active,20271010192,on_campus
202710BI4110110193,BI 411 01,Ecology,NSEH,202710,active,20271010193,on_campus
202710MU401C0110194,MU 401C 01,Voice,FA,202710,active,20271010194,on_campus
202710BI411L0110195,BI 411L 01,Ecology Laboratory,NSEH,202710,active,20271010195,on_campus
202710MU301C0210196,MU 301C 02,Voice,FA,202710,active,20271010196,on_campus
202710BI408E0110197,BI 408 E01,Entomology,NSEH,202710,active,20271010197,online
202710BI408LE0110198,BI 408L E01,Entomology Laboratory,NSEH,202710,active,20271010198,online
202710MU401C0210199,MU 401C 02,Voice,FA,202710,active,20271010199,on_campus
202710MU101D0110200,MU 101D 01,Trumpet,FA,202710,active,20271010200,on_campus
202710MU201D0110201,MU 201D 01,Trumpet,FA,202710,active,20271010201,on_campus
202710MU301D0110202,MU 301D 01,Trumpet,FA,202710,active,20271010202,on_campus
202710MU401D0110203,MU 401D 01,Trumpet,FA,202710,active,20271010203,on_campus
202710MU101E0110204,MU 101E 01,Trombone,FA,202710,active,20271010204,on_campus
202710MU201E0110205,MU 201E 01,Trombone,FA,202710,active,20271010205,on_campus
202710MU301E0110206,MU 301E 01,Trombone,FA,202710,active,20271010206,on_campus
202710MU401E0110207,MU 401E 01,Trombone,FA,202710,active,20271010207,on_campus
202710CS1110110208,CS 111 01,Intro to Data Processing,MCIS,202710,active,20271010208,on_campus
202710CS1110210209,CS 111 02,Intro to Data Processing,MCIS,202710,active,20271010209,on_campus
202710CS1110310210,CS 111 03,Intro to Data Processing,MCIS,202710,active,20271010210,on_campus
202710CS1120110211,CS 112 01,Survey of Computer Science,MCIS,202710,active,20271010211,on_campus
202710CS1910110212,CS 191 01,Computer Seminar,MCIS,202710,active,20271010212,on_campus
202710CS2040110213,CS 204 01,Computer Programming II,MCIS,202710,active,20271010213,on_campus
202710CS3210110214,CS 321 01,Computer Architecture,MCIS,202710,active,20271010214,on_campus
202710CS3230110215,CS 323 01,Intro to Algorithms,MCIS,202710,active,20271010215,on_campus
202710CS3410110216,CS 341 01,Discrete Structure,MCIS,202710,active,20271010216,on_campus
202710CS3510110217,CS 351 01,Database Management,MCIS,202710,active,20271010217,on_campus
202710CS3980110218,CS 398 01,Social/Ethical Issues in Compt,MCIS,202710,active,20271010218,on_campus
202710CS422HE110219,CS 422 HE1,Intro to Networking,MCIS,202710,active,20271010219,blended
202710CS4230110220,CS 423 01,Intro to Cyber Security,MCIS,202710,active,20271010220,on_campus
202710CS4550110221,CS 455 01,Senior Project Computer Sci I,MCIS,202710,active,20271010221,on_campus
202710MU111Z0110222,MU 111Z 01,Woodwind Ensemble,FA,202710,active,20271010222,on_campus
202710MU211Z0110223,MU 211Z 01,Woodwind Ensemble,FA,202710,active,20271010223,on_campus
202710MU311Z0110224,MU 311Z 01,Woodwind Ensemble,FA,202710,active,20271010224,on_campus
202710MU411Z0110225,MU 411Z 01,Woodwind Ensemble,FA,202710,active,20271010225,on_campus
202710BI1910110226,BI 191 01,Biology Seminar,NSEH,202710,active,20271010226,on_campus
202710MU111Z20110227,MU 111Z2 01,Brasswind Ensemble,FA,202710,active,20271010227,on_campus
202710BI1910210228,BI 191 02,Biology Seminar,NSEH,202710,active,20271010228,on_campus
202710MU211Z20110229,MU 211Z2 01,Brass Ensemble,FA,202710,active,20271010229,on_campus
202710MU311Z20110230,MU 311Z2 01,Brass Ensemble,FA,202710,active,20271010230,on_campus
202710BI4910110231,BI 491 01,Biology Seminar,NSEH,202710,active,20271010231,on_campus
202710CH1910110232,CH 191 01,Chemistry Seminar,NSEH,202710,active,20271010232,on_campus
202710MU411Z20110233,MU 411Z2 01,Brasswind Ensemble,FA,202710,active,20271010233,on_campus
202710CH4910110234,CH 491 01,Chemistry Seminar,NSEH,202710,active,20271010234,on_campus
202710MU111Z30110235,MU 111Z3 01,Percussion Ensemble,FA,202710,active,20271010235,on_campus
202710SC1510110236,SC 151 01,Survey of Biological Science I,NSEH,202710,active,20271010236,on_campus
202710MU211Z30110237,MU 211Z3 01,Percussion Ensemble,FA,202710,active,20271010237,on_campus
202710SC151E0110238,SC 151 E01,Survey of Biological Science I,NSEH,202710,active,20271010238,online
202710MU311Z30110239,MU 311Z3 01,Percussion Ensemble,FA,202710,active,20271010239,on_campus
202710SC1510210240,SC 151 02,Survey of Biological Science I,NSEH,202710,active,20271010240,on_campus
202710SC151E0210241,SC 151 E02,Survey of Biological Science I,NSEH,202710,active,20271010241,online
202710MU411Z30110242,MU 411Z3 01,Percussion Ensemble,FA,202710,active,20271010242,on_campus
202710SC151L0110243,SC 151L 01,Surv. Biological Sci I Lab,NSEH,202710,active,20271010243,on_campus
202710AR1020110244,AR 102 01,Two-Dimensional Design,FA,202710,active,20271010244,on_campus
202710SC151LE0110245,SC 151L E01,Surv. Biological Sci I Lab,NSEH,202710,active,20271010245,online
202710PE4030110246,PE 403 01,Methods in Phy Education K-12,HPER,202710,active,20271010246,on_campus
202710AR1030110247,AR 103 01,Drawing I,FA,202710,active,20271010247,on_campus
202710PE406E0110248,PE 406 E01,Kinesiology,HPER,202710,active,20271010248,online
202710AR2030110249,AR 203 01,Painting I,FA,202710,active,20271010249,on_campus
202710PE4310110250,PE 431 01,Socio-Pychology Exer/Sport,HPER,202710,active,20271010250,on_campus
202710SC151LE0210251,SC 151L E02,Surv. Biological Sci I Lab,NSEH,202710,active,20271010251,online
202710AR2050110252,AR 205 01,Figure Drawing I,FA,202710,active,20271010252,on_campus
202710RE305E0110253,RE 305 E01,Recreation Leadership,HPER,202710,active,20271010253,online
202710AR3160110254,AR 316 01,Intaglio Printing,FA,202710,active,20271010254,on_campus
202710RE4130110255,RE 413 01,"Parks,Recreation& Admin.",HPER,202710,active,20271010255,on_campus
202710RE4130210256,RE 413 02,"Parks,Recreation& Admin.",HPER,202710,active,20271010256,on_campus
202710AR3190110257,AR 319 01,Lithography,FA,202710,active,20271010257,on_campus
202710PED5190110258,PED 519 01,NCAA Compliance,HPER,202710,active,20271010258,on_campus
202710AR4050110259,AR 405 01,Illustration,FA,202710,active,20271010259,on_campus
202710AR310E0110260,AR 310 E01,Hist/Ancient & Greco-Roman Art,FA,202710,active,20271010260,online
202710AR3140110261,AR 314 01,Watercolor Painting,FA,202710,active,20271010261,on_campus
202710AR101E0110262,AR 101 E01,Art Appreciation,FA,202710,active,20271010262,online
202710SC2610110263,SC 261 01,Survey of Physical Science I,NSEH,202710,active,20271010263,on_campus
202710SC2610210264,SC 261 02,Survey of Physical Science I,NSEH,202710,active,20271010264,on_campus
202710MU107E0110265,MU 107 E01,Music Appreciation,FA,202710,active,20271010265,online
202710MU1070110266,MU 107 01,Music Appreciation,FA,202710,active,20271010266,on_campus
202710SC261E0210267,SC 261 E02,Survey of Physical Science I,NSEH,202710,active,20271010267,online
202710SC261L0110268,SC 261L 01,Surv Physical Science I Lab,NSEH,202710,active,20271010268,on_campus
202710MU1070210269,MU 107 02,Music Appreciation,FA,202710,active,20271010269,on_campus
202710SC261L0210270,SC 261L 02,Surv Physical Science I Lab,NSEH,202710,active,20271010270,on_campus
202710MU1070310271,MU 107 03,Music Appreciation,FA,202710,active,20271010271,on_campus
202710SC261LE0210272,SC 261L E02,Surv Physical Science I Lab,NSEH,202710,active,20271010272,online
202710HL1010110273,HL 101 01,Comprehensive Health,HPER,202710,active,20271010273,on_campus
202710AR3010110274,AR 301 01,Graphic Design I,FA,202710,active,20271010274,on_campus
202710EC3020110275,EC 302 01,Human Growth And Development,ED,202710,active,20271010275,on_campus
202710HL1010210276,HL 101 02,Comprehensive Health,HPER,202710,active,20271010276,on_campus
202710HL1010310277,HL 101 03,Comprehensive Health,HPER,202710,active,20271010277,on_campus
202710HL1010410278,HL 101 04,Comprehensive Health,HPER,202710,active,20271010278,on_campus
202710HL1010510279,HL 101 05,Comprehensive Health,HPER,202710,active,20271010279,on_campus
202710EC3080110280,EC 308 01,Lang Dvlpmt in Early Childhood,ED,202710,active,20271010280,on_campus
202710MA100X0110281,MA 100X 01,Intermediate Algebra-Co-Requis,MCIS,202710,active,20271010281,on_campus
202710HL309E0110282,HL 309 E01,Consumer Health Education,HPER,202710,active,20271010282,online
202710MA100X0210283,MA 100X 02,Intermediate Algebra-Co-Requis,MCIS,202710,active,20271010283,on_campus
202710MA100X0310285,MA 100X 03,Intermediate Algebra-Co-Requis,MCIS,202710,active,20271010285,on_campus
202710EC3100110286,EC 310 01,Principles Early Chldhd Educ,ED,202710,active,20271010286,on_campus
202710MA100X0410287,MA 100X 04,Intermediate Algebra-Co-Requis,MCIS,202710,active,20271010287,on_campus
202710MA100X0510288,MA 100X 05,Intermediate Algebra-Co-Requis,MCIS,202710,active,20271010288,on_campus
202710EC311E0110289,EC 311 E01,Dynamics Play-Early Chldhd Ed,ED,202710,active,20271010289,online
202710MA100X0610290,MA 100X 06,Intermediate Algebra-Co-Requis,MCIS,202710,active,20271010290,on_campus
202710EC313E0110291,EC 313 E01,Child Care Administration,ED,202710,active,20271010291,online
202710MA1110110292,MA 111 01,College Algebra,MCIS,202710,active,20271010292,on_campus
202710EC4000110293,EC 400 01,Mthds Instrctn Preschool Educ,ED,202710,active,20271010293,on_campus
202710MA1110210294,MA 111 02,College Algebra,MCIS,202710,active,20271010294,on_campus
202710EC4020110295,EC 402 01,Science and Numbers,ED,202710,active,20271010295,on_campus
202710HL3180110296,HL 318 01,Drugs and Alcohol Abuse,HPER,202710,active,20271010296,on_campus
202710EC4040110297,EC 404 01,Creative Arts - Young Child,ED,202710,active,20271010297,on_campus
202710MA1110310298,MA 111 03,College Algebra,MCIS,202710,active,20271010298,on_campus
202710PE2050110299,PE 205 01,Motor Develop & Learning,HPER,202710,active,20271010299,on_campus
202710EC4630110300,EC 463 01,Practicum Experience,ED,202710,active,20271010300,on_campus
202710MA1110410301,MA 111 04,College Algebra,MCIS,202710,active,20271010301,on_campus
202710PE1020110302,PE 102 01,Concepts of Physical ED,HPER,202710,active,20271010302,on_campus
202710HI101E0110303,HI 101 E01,World History to 1500,SS,202710,active,20271010303,online
202710PE1020210304,PE 102 02,Concepts of Physical ED,HPER,202710,active,20271010304,on_campus
202710SE4010110305,SE 401 01,Early Intervention Strategies,ED,202710,active,20271010305,on_campus
202710PE1020310306,PE 102 03,Concepts of Physical ED,HPER,202710,active,20271010306,on_campus
202710HI201HE110307,HI 201 HE1,Early U.S. History,SS,202710,active,20271010307,blended
202710MA1110510308,MA 111 05,College Algebra,MCIS,202710,active,20271010308,on_campus
202710HI2010110309,HI 201 01,Early U.S. History,SS,202710,active,20271010309,on_campus
202710ED1020110310,ED 102 01,General Psychology,ED,202710,active,20271010310,on_campus
202710MA1110610311,MA 111 06,College Algebra,MCIS,202710,active,20271010311,on_campus
202710HI215E0110312,HI 215 E01,Afr-American History,SS,202710,active,20271010312,online
202710MA1120110313,MA 112 01,Plane Trigonometry,MCIS,202710,active,20271010313,on_campus
202710ED1020210314,ED 102 02,General Psychology,ED,202710,active,20271010314,on_campus
202710HI302HE110315,HI 302 HE1,Age of Rev: Europe 1789-1989,SS,202710,active,20271010315,blended
202710PE1020410316,PE 102 04,Concepts of Physical ED,HPER,202710,active,20271010316,on_campus
202710SS3910310317,SS 391 03,Seminar in Social Science,SS,202710,active,20271010317,on_campus
202710ED1020310318,ED 102 03,General Psychology,ED,202710,active,20271010318,on_campus
202710PA101E0110319,PA 101 E01,Intro to Public Administration,SS,202710,active,20271010319,online
